omega,m,m_plus_1,D,mask,j,rank_R,x_digits,y_digits
3,5,6,30,7,1,1,2,1
3,9,10,10,5,1,1,2,1
3,15,16,15,6,2,1,2,1
3,24,25,6,3,2,2,2,2
3,80,81,5,4,2,2,3,2
