omega,D,mask,status,x1_digits,y1_digits,y1_smooth,rank_R,rank_missing_prime,rank_multiples,j_checked,smooth_pairs,hits,pell_sec,total_sec,error
3,15,6,HIT,1,1,1,1,0,30,30,1,15,0.000038,0.000161,
3,30,7,HIT,2,1,1,1,0,30,30,1,5,0.000057,0.000201,
3,10,5,HIT,2,1,1,1,0,30,30,1,9,0.000015,0.000080,
3,5,4,HIT,1,1,1,2,0,15,15,1,80,0.000012,0.000060,
3,6,3,HIT,1,1,1,2,0,15,15,1,24,0.000016,0.000068,
3,3,2,CHECKED_NO_HIT,1,1,1,3,0,10,10,0,,0.000011,0.000038,
3,2,1,CHECKED_NO_HIT,1,1,1,6,0,5,5,0,,0.000012,0.000039,
