omega,rank,D,mask,status,total_sec,pell_sec,x1_digits,y1_digits,y1_smooth,rank_R,rank_missing_prime,rank_multiples,j_checked,smooth_pairs,hits,error
3,1,30,7,HIT,0.000201,0.000057,2,1,1,1,0,30,30,1,5,
3,2,15,6,HIT,0.000161,0.000038,1,1,1,1,0,30,30,1,15,
3,3,10,5,HIT,0.000080,0.000015,2,1,1,1,0,30,30,1,9,
3,4,6,3,HIT,0.000068,0.000016,1,1,1,2,0,15,15,1,24,
3,5,5,4,HIT,0.000060,0.000012,1,1,1,2,0,15,15,1,80,
3,6,2,1,CHECKED_NO_HIT,0.000039,0.000012,1,1,1,6,0,5,5,0,,
3,7,3,2,CHECKED_NO_HIT,0.000038,0.000011,1,1,1,3,0,10,10,0,,
