omega,rank,D,mask,status,total_sec,pell_sec,x1_digits,y1_digits,y1_smooth,rank_R,rank_missing_prime,rank_multiples,j_checked,smooth_pairs,hits,error
4,1,210,15,HIT,0.000188,0.000040,2,1,1,1,0,30,30,1,14,
4,2,105,14,HIT,0.000182,0.000042,2,1,1,1,0,30,30,1,20,
4,3,70,13,HIT,0.000101,0.000017,3,2,1,1,0,30,30,1,125,
4,4,42,11,HIT,0.000077,0.000026,2,1,1,3,0,10,10,1,4374,
4,5,7,8,CHECKED_NO_HIT,0.000065,0.000024,1,1,1,3,0,10,10,0,,
4,6,30,7,CHECKED_NO_HIT,0.000064,0.000017,2,1,1,3,0,10,10,0,,
4,7,6,3,HIT,0.000057,0.000018,1,1,1,4,0,7,7,1,2400,
4,8,35,12,HIT,0.000053,0.000012,1,1,1,2,0,15,15,1,35,
4,9,14,9,HIT,0.000053,0.000025,2,1,1,2,0,15,15,1,224,
4,10,5,4,CHECKED_NO_HIT,0.000050,0.000017,1,1,1,4,0,7,7,0,,
4,11,15,6,CHECKED_NO_HIT,0.000046,0.000012,1,1,1,3,0,10,10,0,,
4,12,2,1,CHECKED_NO_HIT,0.000045,0.000014,1,1,1,6,0,5,5,0,,
4,13,21,10,CHECKED_NO_HIT,0.000041,0.000012,2,2,1,2,0,15,15,0,,
4,14,3,2,CHECKED_NO_HIT,0.000035,0.000014,1,1,1,12,0,2,2,0,,
4,15,10,5,CHECKED_NO_HIT,0.000022,0.000007,2,1,1,4,0,7,7,0,,
