omega,D,mask,status,x1_digits,y1_digits,y1_smooth,rank_R,rank_missing_prime,rank_multiples,j_checked,smooth_pairs,hits,pell_sec,total_sec,error
4,210,15,HIT,2,1,1,1,0,30,30,1,14,0.000040,0.000188,
4,105,14,HIT,2,1,1,1,0,30,30,1,20,0.000042,0.000182,
4,42,11,HIT,2,1,1,3,0,10,10,1,4374,0.000026,0.000077,
4,70,13,HIT,3,2,1,1,0,30,30,1,125,0.000017,0.000101,
4,30,7,CHECKED_NO_HIT,2,1,1,3,0,10,10,0,,0.000017,0.000064,
4,35,12,HIT,1,1,1,2,0,15,15,1,35,0.000012,0.000053,
4,21,10,CHECKED_NO_HIT,2,2,1,2,0,15,15,0,,0.000012,0.000041,
4,15,6,CHECKED_NO_HIT,1,1,1,3,0,10,10,0,,0.000012,0.000046,
4,14,9,HIT,2,1,1,2,0,15,15,1,224,0.000025,0.000053,
4,10,5,CHECKED_NO_HIT,2,1,1,4,0,7,7,0,,0.000007,0.000022,
4,6,3,HIT,1,1,1,4,0,7,7,1,2400,0.000018,0.000057,
4,7,8,CHECKED_NO_HIT,1,1,1,3,0,10,10,0,,0.000024,0.000065,
4,5,4,CHECKED_NO_HIT,1,1,1,4,0,7,7,0,,0.000017,0.000050,
4,3,2,CHECKED_NO_HIT,1,1,1,12,0,2,2,0,,0.000014,0.000035,
4,2,1,CHECKED_NO_HIT,1,1,1,6,0,5,5,0,,0.000014,0.000045,
