omega,D,mask,status,x1_digits,y1_digits,y1_smooth,rank_R,rank_missing_prime,rank_multiples,j_checked,smooth_pairs,hits,pell_sec,total_sec,error
7,21,10,LCM_EXCEEDS_L,2,2,1,56,0,0,0,0,,0.000014,0.000021,
7,15,6,LCM_EXCEEDS_L,1,1,1,56,0,0,0,0,,0.000007,0.000016,
7,14,9,LCM_EXCEEDS_L,2,1,1,90,0,0,0,0,,0.000009,0.000017,
7,10,5,LCM_EXCEEDS_L,2,1,1,36,0,0,0,0,,0.000006,0.000013,
7,6,3,LCM_EXCEEDS_L,1,1,1,63,0,0,0,0,,0.000010,0.000017,
7,17,64,CHECKED_NO_HIT,2,1,1,12,0,2,2,0,,0.000006,0.000019,
7,11,16,LCM_EXCEEDS_L,2,1,1,63,0,0,0,0,,0.000007,0.000013,
7,13,32,CHECKED_NO_HIT,3,3,1,4,0,7,7,0,,0.000022,0.000045,
7,7,8,LCM_EXCEEDS_L,1,1,1,42,0,0,0,0,,0.000011,0.000018,
7,5,4,LCM_EXCEEDS_L,1,1,1,105,0,0,0,0,,0.000006,0.000013,
7,3,2,LCM_EXCEEDS_L,1,1,1,90,0,0,0,0,,0.000007,0.000014,
7,2,1,LCM_EXCEEDS_L,1,1,1,84,0,0,0,0,,0.000021,0.000028,
