omega,D,mask,status,x1_digits,y1_digits,y1_smooth,rank_R,rank_missing_prime,rank_multiples,j_checked,smooth_pairs,hits,pell_sec,total_sec,error
6,30030,63,HIT,4,2,1,1,0,30,30,1,2079,0.000103,0.000259,
6,15015,62,HIT,4,2,1,1,0,30,30,1,1715,0.000059,0.000307,
6,4290,55,CHECKED_NO_HIT,3,1,1,4,0,7,7,0,,0.000014,0.000081,
6,10010,61,CHECKED_NO_HIT,4,2,1,2,0,15,15,0,,0.000037,0.000193,
6,2310,31,CHECKED_NO_HIT,3,2,1,6,0,5,5,0,,0.000009,0.000036,
6,5005,60,GATE_Y1_NOT_SMOOTH,11,9,0,0,0,0,0,0,,0.000065,0.000078,
6,6006,59,CHECKED_NO_HIT,3,1,1,2,0,15,15,0,,0.000081,0.000273,
6,2730,47,CHECKED_NO_HIT,3,1,1,2,0,15,15,0,,0.000047,0.000179,
6,2145,54,GATE_Y1_NOT_SMOOTH,5,3,0,0,0,0,0,0,,0.000031,0.000050,
6,2002,57,GATE_Y1_NOT_SMOOTH,8,6,0,0,0,0,0,0,,0.000088,0.000107,
6,3003,58,CHECKED_NO_HIT,3,1,1,1,0,30,30,0,,0.000046,0.000182,
6,1365,46,GATE_Y1_NOT_SMOOTH,5,3,0,0,0,0,0,0,,0.000035,0.000045,
6,1155,30,CHECKED_NO_HIT,2,1,1,7,0,4,4,0,,0.000016,0.000059,
6,910,45,CHECKED_NO_HIT,3,1,1,3,0,10,10,0,,0.000031,0.000085,
6,1430,53,CHECKED_NO_HIT,5,3,1,6,0,5,5,0,,0.000045,0.000091,
6,546,43,CHECKED_NO_HIT,3,2,1,6,0,5,5,0,,0.000014,0.000034,
6,858,51,CHECKED_NO_HIT,3,2,1,3,0,10,10,0,,0.000025,0.000072,
6,462,27,CHECKED_NO_HIT,2,1,1,21,0,1,1,0,,0.000019,0.000038,
6,770,29,CHECKED_NO_HIT,3,1,1,6,0,5,5,0,,0.000034,0.000067,
6,390,39,CHECKED_NO_HIT,2,1,1,20,0,1,1,0,,0.000027,0.000040,
6,330,23,CHECKED_NO_HIT,3,1,1,21,0,1,1,0,,0.000008,0.000023,
6,1001,56,GATE_Y1_NOT_SMOOTH,7,5,0,0,0,0,0,0,,0.000027,0.000031,
6,715,52,GATE_Y1_NOT_SMOOTH,5,4,0,0,0,0,0,0,,0.000055,0.000064,
6,429,50,GATE_Y1_NOT_SMOOTH,7,5,0,0,0,0,0,0,,0.000054,0.000070,
6,385,28,GATE_Y1_NOT_SMOOTH,5,4,0,0,0,0,0,0,,0.000036,0.000046,
6,455,44,CHECKED_NO_HIT,2,1,1,5,0,6,6,0,,0.000032,0.000094,
6,286,49,GATE_Y1_NOT_SMOOTH,6,5,0,0,0,0,0,0,,0.000037,0.000046,
6,273,42,CHECKED_NO_HIT,3,2,1,3,0,10,10,0,,0.000021,0.000048,
6,195,38,CHECKED_NO_HIT,2,1,1,6,0,5,5,0,,0.000009,0.000026,
6,231,26,CHECKED_NO_HIT,2,1,1,6,0,5,5,0,,0.000019,0.000037,
6,210,15,LCM_EXCEEDS_L,2,1,1,35,0,0,0,0,,0.000036,0.000148,
6,182,41,CHECKED_NO_HIT,2,1,1,6,0,5,5,0,,0.000013,0.000049,
6,165,22,CHECKED_NO_HIT,4,2,1,2,0,15,15,0,,0.000014,0.000042,
6,105,14,CHECKED_NO_HIT,2,1,1,6,0,5,5,0,,0.000009,0.000025,
6,110,21,CHECKED_NO_HIT,2,1,1,14,0,2,2,0,,0.000016,0.000042,
6,78,35,CHECKED_NO_HIT,2,1,1,15,0,2,2,0,,0.000021,0.000036,
6,70,13,LCM_EXCEEDS_L,3,2,1,35,0,0,0,0,,0.000016,0.000025,
6,130,37,GATE_Y1_NOT_SMOOTH,4,3,0,0,0,0,0,0,,0.000041,0.000059,
6,66,19,CHECKED_NO_HIT,2,1,1,4,0,7,7,0,,0.000009,0.000036,
6,30,7,CHECKED_NO_HIT,2,1,1,6,0,5,5,0,,0.000007,0.000022,
6,42,11,CHECKED_NO_HIT,2,1,1,30,0,1,1,0,,0.000013,0.000035,
6,143,48,CHECKED_NO_HIT,2,1,1,12,0,2,2,0,,0.000007,0.000018,
6,154,25,CHECKED_NO_HIT,5,4,1,2,0,15,15,0,,0.000046,0.000121,
6,55,20,CHECKED_NO_HIT,2,2,1,12,0,2,2,0,,0.000014,0.000027,
6,77,24,HIT,3,2,1,2,0,15,15,1,123200,0.000041,0.000075,
6,65,36,CHECKED_NO_HIT,3,2,1,6,0,5,5,0,,0.000028,0.000061,
6,35,12,CHECKED_NO_HIT,1,1,1,6,0,5,5,0,,0.000013,0.000030,
6,39,34,CHECKED_NO_HIT,2,1,1,6,0,5,5,0,,0.000047,0.000081,
6,26,33,CHECKED_NO_HIT,2,2,1,20,0,1,1,0,,0.000016,0.000030,
6,91,40,CHECKED_NO_HIT,4,3,1,1,0,30,30,0,,0.000068,0.000166,
6,22,17,CHECKED_NO_HIT,3,2,1,6,0,5,5,0,,0.000012,0.000028,
6,15,6,LCM_EXCEEDS_L,1,1,1,35,0,0,0,0,,0.000008,0.000015,
6,14,9,CHECKED_NO_HIT,2,1,1,30,0,1,1,0,,0.000012,0.000026,
6,21,10,CHECKED_NO_HIT,2,2,1,14,0,2,2,0,,0.000019,0.000038,
6,6,3,LCM_EXCEEDS_L,1,1,1,84,0,0,0,0,,0.000008,0.000015,
6,11,16,LCM_EXCEEDS_L,2,1,1,42,0,0,0,0,,0.000007,0.000015,
6,5,4,LCM_EXCEEDS_L,1,1,1,35,0,0,0,0,,0.000006,0.000016,
6,10,5,CHECKED_NO_HIT,2,1,1,12,0,2,2,0,,0.000018,0.000047,
6,7,8,LCM_EXCEEDS_L,1,1,1,42,0,0,0,0,,0.000011,0.000019,
6,33,18,LCM_EXCEEDS_L,2,1,1,84,0,0,0,0,,0.000033,0.000075,
