omega,rank,D,mask,status,total_sec,pell_sec,x1_digits,y1_digits,y1_smooth,rank_R,rank_missing_prime,rank_multiples,j_checked,smooth_pairs,hits,error
6,1,15015,62,HIT,0.000307,0.000059,4,2,1,1,0,30,30,1,1715,
6,2,6006,59,CHECKED_NO_HIT,0.000273,0.000081,3,1,1,2,0,15,15,0,,
6,3,30030,63,HIT,0.000259,0.000103,4,2,1,1,0,30,30,1,2079,
6,4,10010,61,CHECKED_NO_HIT,0.000193,0.000037,4,2,1,2,0,15,15,0,,
6,5,3003,58,CHECKED_NO_HIT,0.000182,0.000046,3,1,1,1,0,30,30,0,,
6,6,2730,47,CHECKED_NO_HIT,0.000179,0.000047,3,1,1,2,0,15,15,0,,
6,7,91,40,CHECKED_NO_HIT,0.000166,0.000068,4,3,1,1,0,30,30,0,,
6,8,210,15,LCM_EXCEEDS_L,0.000148,0.000036,2,1,1,35,0,0,0,0,,
6,9,154,25,CHECKED_NO_HIT,0.000121,0.000046,5,4,1,2,0,15,15,0,,
6,10,2002,57,GATE_Y1_NOT_SMOOTH,0.000107,0.000088,8,6,0,0,0,0,0,0,,
6,11,455,44,CHECKED_NO_HIT,0.000094,0.000032,2,1,1,5,0,6,6,0,,
6,12,1430,53,CHECKED_NO_HIT,0.000091,0.000045,5,3,1,6,0,5,5,0,,
6,13,910,45,CHECKED_NO_HIT,0.000085,0.000031,3,1,1,3,0,10,10,0,,
6,14,4290,55,CHECKED_NO_HIT,0.000081,0.000014,3,1,1,4,0,7,7,0,,
6,15,39,34,CHECKED_NO_HIT,0.000081,0.000047,2,1,1,6,0,5,5,0,,
6,16,5005,60,GATE_Y1_NOT_SMOOTH,0.000078,0.000065,11,9,0,0,0,0,0,0,,
6,17,13,32,CHECKED_NO_HIT,0.000076,0.000036,3,3,1,4,0,7,7,0,,
6,18,77,24,HIT,0.000075,0.000041,3,2,1,2,0,15,15,1,123200,
6,19,33,18,LCM_EXCEEDS_L,0.000075,0.000033,2,1,1,84,0,0,0,0,,
6,20,858,51,CHECKED_NO_HIT,0.000072,0.000025,3,2,1,3,0,10,10,0,,
6,21,429,50,GATE_Y1_NOT_SMOOTH,0.000070,0.000054,7,5,0,0,0,0,0,0,,
6,22,770,29,CHECKED_NO_HIT,0.000067,0.000034,3,1,1,6,0,5,5,0,,
6,23,715,52,GATE_Y1_NOT_SMOOTH,0.000064,0.000055,5,4,0,0,0,0,0,0,,
6,24,65,36,CHECKED_NO_HIT,0.000061,0.000028,3,2,1,6,0,5,5,0,,
6,25,130,37,GATE_Y1_NOT_SMOOTH,0.000059,0.000041,4,3,0,0,0,0,0,0,,
6,26,1155,30,CHECKED_NO_HIT,0.000059,0.000016,2,1,1,7,0,4,4,0,,
6,27,2145,54,GATE_Y1_NOT_SMOOTH,0.000050,0.000031,5,3,0,0,0,0,0,0,,
6,28,182,41,CHECKED_NO_HIT,0.000049,0.000013,2,1,1,6,0,5,5,0,,
6,29,273,42,CHECKED_NO_HIT,0.000048,0.000021,3,2,1,3,0,10,10,0,,
6,30,10,5,CHECKED_NO_HIT,0.000047,0.000018,2,1,1,12,0,2,2,0,,
6,31,286,49,GATE_Y1_NOT_SMOOTH,0.000046,0.000037,6,5,0,0,0,0,0,0,,
6,32,385,28,GATE_Y1_NOT_SMOOTH,0.000046,0.000036,5,4,0,0,0,0,0,0,,
6,33,1365,46,GATE_Y1_NOT_SMOOTH,0.000045,0.000035,5,3,0,0,0,0,0,0,,
6,34,110,21,CHECKED_NO_HIT,0.000042,0.000016,2,1,1,14,0,2,2,0,,
6,35,165,22,CHECKED_NO_HIT,0.000042,0.000014,4,2,1,2,0,15,15,0,,
6,36,390,39,CHECKED_NO_HIT,0.000040,0.000027,2,1,1,20,0,1,1,0,,
6,37,462,27,CHECKED_NO_HIT,0.000038,0.000019,2,1,1,21,0,1,1,0,,
6,38,21,10,CHECKED_NO_HIT,0.000038,0.000019,2,2,1,14,0,2,2,0,,
6,39,231,26,CHECKED_NO_HIT,0.000037,0.000019,2,1,1,6,0,5,5,0,,
6,40,78,35,CHECKED_NO_HIT,0.000036,0.000021,2,1,1,15,0,2,2,0,,
6,41,66,19,CHECKED_NO_HIT,0.000036,0.000009,2,1,1,4,0,7,7,0,,
6,42,2310,31,CHECKED_NO_HIT,0.000036,0.000009,3,2,1,6,0,5,5,0,,
6,43,3,2,LCM_EXCEEDS_L,0.000035,0.000029,1,1,1,60,0,0,0,0,,
6,44,42,11,CHECKED_NO_HIT,0.000035,0.000013,2,1,1,30,0,1,1,0,,
6,45,546,43,CHECKED_NO_HIT,0.000034,0.000014,3,2,1,6,0,5,5,0,,
6,46,1001,56,GATE_Y1_NOT_SMOOTH,0.000031,0.000027,7,5,0,0,0,0,0,0,,
6,47,26,33,CHECKED_NO_HIT,0.000030,0.000016,2,2,1,20,0,1,1,0,,
6,48,35,12,CHECKED_NO_HIT,0.000030,0.000013,1,1,1,6,0,5,5,0,,
6,49,22,17,CHECKED_NO_HIT,0.000028,0.000012,3,2,1,6,0,5,5,0,,
6,50,55,20,CHECKED_NO_HIT,0.000027,0.000014,2,2,1,12,0,2,2,0,,
