omega,m,m_plus_1,D,mask,j,rank_R,x_digits,y_digits
5,384,385,2310,31,1,1,3,2
5,440,441,110,21,2,2,3,2
5,539,540,165,22,1,1,4,2
5,3024,3025,21,10,2,2,4,4
5,9800,9801,2,1,6,6,5,5
