omega,D,mask,status,x1_digits,y1_digits,y1_smooth,rank_R,rank_missing_prime,rank_multiples,j_checked,smooth_pairs,hits,pell_sec,total_sec,error
8,9699690,255,GATE_Y1_NOT_SMOOTH,20,17,0,0,0,0,0,0,,0.000092,0.000140,
8,4849845,254,GATE_Y1_NOT_SMOOTH,15,12,0,0,0,0,0,0,,0.000059,0.000097,
8,3233230,253,GATE_Y1_NOT_SMOOTH,31,28,0,0,0,0,0,0,,0.000101,0.000139,
8,1939938,251,GATE_Y1_NOT_SMOOTH,17,14,0,0,0,0,0,0,,0.000054,0.000087,
8,1385670,247,GATE_Y1_NOT_SMOOTH,15,12,0,0,0,0,0,0,,0.000073,0.000121,
8,881790,239,GATE_Y1_NOT_SMOOTH,11,8,0,0,0,0,0,0,,0.000048,0.000080,
8,746130,223,GATE_Y1_NOT_SMOOTH,10,7,0,0,0,0,0,0,,0.000060,0.000093,
8,570570,191,GATE_Y1_NOT_SMOOTH,12,9,0,0,0,0,0,0,,0.000052,0.000084,
8,510510,127,CHECKED_NO_HIT,4,1,1,10,0,3,3,0,,0.000013,0.000052,
8,1616615,252,GATE_Y1_NOT_SMOOTH,12,8,0,0,0,0,0,0,,0.000028,0.000039,
8,969969,250,GATE_Y1_NOT_SMOOTH,20,17,0,0,0,0,0,0,,0.000051,0.000060,
8,692835,246,GATE_Y1_NOT_SMOOTH,12,9,0,0,0,0,0,0,,0.000046,0.000051,
8,646646,249,GATE_Y1_NOT_SMOOTH,7,4,0,0,0,0,0,0,,0.000026,0.000031,
8,461890,245,GATE_Y1_NOT_SMOOTH,33,30,0,0,0,0,0,0,,0.000121,0.000127,
8,440895,238,CHECKED_NO_HIT,3,1,1,5,0,6,6,0,,0.000008,0.000044,
8,373065,222,GATE_Y1_NOT_SMOOTH,17,14,0,0,0,0,0,0,,0.000049,0.000059,
8,293930,237,GATE_Y1_NOT_SMOOTH,11,8,0,0,0,0,0,0,,0.000036,0.000042,
8,285285,190,GATE_Y1_NOT_SMOOTH,15,13,0,0,0,0,0,0,,0.000034,0.000041,
