omega,rank,D,mask,status,total_sec,pell_sec,x1_digits,y1_digits,y1_smooth,rank_R,rank_missing_prime,rank_multiples,j_checked,smooth_pairs,hits,error
8,1,7,8,LCM_EXCEEDS_L,0.000192,0.000184,1,1,1,63,0,0,0,0,,
8,2,11,16,LCM_EXCEEDS_L,0.000174,0.000007,2,1,1,63,0,0,0,0,,
8,3,9699690,255,GATE_Y1_NOT_SMOOTH,0.000140,0.000092,20,17,0,0,0,0,0,0,,
8,4,3233230,253,GATE_Y1_NOT_SMOOTH,0.000139,0.000101,31,28,0,0,0,0,0,0,,
8,5,46189,240,GATE_Y1_NOT_SMOOTH,0.000128,0.000123,35,32,0,0,0,0,0,0,,
8,6,461890,245,GATE_Y1_NOT_SMOOTH,0.000127,0.000121,33,30,0,0,0,0,0,0,,
8,7,1385670,247,GATE_Y1_NOT_SMOOTH,0.000121,0.000073,15,12,0,0,0,0,0,0,,
8,8,935,84,CHECKED_NO_HIT,0.000111,0.000070,4,2,1,18,0,1,1,0,,
8,9,255255,126,HIT,0.000109,0.000019,7,4,1,1,0,30,30,1,633555,
8,10,4849845,254,GATE_Y1_NOT_SMOOTH,0.000097,0.000059,15,12,0,0,0,0,0,0,,
8,11,746130,223,GATE_Y1_NOT_SMOOTH,0.000093,0.000060,10,7,0,0,0,0,0,0,,
8,12,81510,183,CHECKED_NO_HIT,0.000092,0.000035,3,1,1,9,0,3,3,0,,
8,13,1939938,251,GATE_Y1_NOT_SMOOTH,0.000087,0.000054,17,14,0,0,0,0,0,0,,
8,14,570570,191,GATE_Y1_NOT_SMOOTH,0.000084,0.000052,12,9,0,0,0,0,0,0,,
8,15,13,32,CHECKED_NO_HIT,0.000082,0.000050,3,3,1,20,0,1,1,0,,
8,16,881790,239,GATE_Y1_NOT_SMOOTH,0.000080,0.000048,11,8,0,0,0,0,0,0,,
8,17,125970,231,GATE_Y1_NOT_SMOOTH,0.000080,0.000046,10,8,0,0,0,0,0,0,,
8,18,6,3,LCM_EXCEEDS_L,0.000077,0.000047,1,1,1,63,0,0,0,0,,
8,19,3094,105,GATE_Y1_NOT_SMOOTH,0.000074,0.000071,13,11,0,0,0,0,0,0,,
8,20,277134,243,GATE_Y1_NOT_SMOOTH,0.000069,0.000062,18,15,0,0,0,0,0,0,,
8,21,374,81,GATE_Y1_NOT_SMOOTH,0.000069,0.000056,4,3,0,0,0,0,0,0,,
8,22,13585,180,GATE_Y1_NOT_SMOOTH,0.000068,0.000065,18,16,0,0,0,0,0,0,,
8,23,58786,233,GATE_Y1_NOT_SMOOTH,0.000066,0.000061,23,21,0,0,0,0,0,0,,
8,24,663,98,LCM_EXCEEDS_L,0.000065,0.000044,3,1,1,45,0,0,0,0,,
8,25,25194,227,GATE_Y1_NOT_SMOOTH,0.000062,0.000058,15,13,0,0,0,0,0,0,,
8,26,323323,248,CHECKED_NO_HIT,0.000061,0.000020,7,4,1,3,0,10,10,0,,
8,27,969969,250,GATE_Y1_NOT_SMOOTH,0.000060,0.000051,20,17,0,0,0,0,0,0,,
8,28,373065,222,GATE_Y1_NOT_SMOOTH,0.000059,0.000049,17,14,0,0,0,0,0,0,,
8,29,11305,204,GATE_Y1_NOT_SMOOTH,0.000057,0.000054,16,14,0,0,0,0,0,0,,
8,30,35530,213,GATE_Y1_NOT_SMOOTH,0.000057,0.000053,15,13,0,0,0,0,0,0,,
8,31,10374,171,GATE_Y1_NOT_SMOOTH,0.000057,0.000053,9,7,0,0,0,0,0,0,,
8,32,1729,168,GATE_Y1_NOT_SMOOTH,0.000054,0.000051,14,13,0,0,0,0,0,0,,
8,33,95095,188,GATE_Y1_NOT_SMOOTH,0.000054,0.000050,15,12,0,0,0,0,0,0,,
8,34,2431,112,GATE_Y1_NOT_SMOOTH,0.000052,0.000048,12,10,0,0,0,0,0,0,,
8,35,176358,235,CHECKED_NO_HIT,0.000052,0.000022,4,2,1,3,0,10,10,0,,
8,36,510510,127,CHECKED_NO_HIT,0.000052,0.000013,4,1,1,10,0,3,3,0,,
8,37,1309,88,GATE_Y1_NOT_SMOOTH,0.000051,0.000048,15,14,0,0,0,0,0,0,,
8,38,692835,246,GATE_Y1_NOT_SMOOTH,0.000051,0.000046,12,9,0,0,0,0,0,0,,
8,39,170170,125,CHECKED_NO_HIT,0.000050,0.000020,5,2,1,9,0,3,3,0,,
8,40,20995,228,GATE_Y1_NOT_SMOOTH,0.000050,0.000047,13,11,0,0,0,0,0,0,,
8,41,3553,208,GATE_Y1_NOT_SMOOTH,0.000050,0.000046,19,17,0,0,0,0,0,0,,
8,42,67830,207,GATE_Y1_NOT_SMOOTH,0.000048,0.000041,10,8,0,0,0,0,0,0,,
8,43,6630,103,CHECKED_NO_HIT,0.000048,0.000017,5,3,1,2,0,15,15,0,,
8,44,24871,216,GATE_Y1_NOT_SMOOTH,0.000047,0.000043,17,14,0,0,0,0,0,0,,
8,45,248710,221,CHECKED_NO_HIT,0.000047,0.000015,5,2,1,7,0,4,4,0,,
8,46,29393,232,GATE_Y1_NOT_SMOOTH,0.000045,0.000041,14,12,0,0,0,0,0,0,,
8,47,146965,236,GATE_Y1_NOT_SMOOTH,0.000044,0.000037,13,10,0,0,0,0,0,0,,
8,48,440895,238,CHECKED_NO_HIT,0.000044,0.000008,3,1,1,5,0,6,6,0,,
8,49,17290,173,GATE_Y1_NOT_SMOOTH,0.000043,0.000040,13,11,0,0,0,0,0,0,,
8,50,3705,166,GATE_Y1_NOT_SMOOTH,0.000043,0.000039,9,7,0,0,0,0,0,0,,
